BJD	BJD0	Porb	E	O-C (days)	err.	source
2458683.498857 	2451659.481968 	0.41695902	16846	-0.07476192	0.00193	AAVSO
2458968.270593 	2451659.481968 	0.41695902	17529	-0.08603658	0.00135	AAVSO
2458972.418044 	2451659.481968 	0.41695902	17539	-0.10817578	0.00042	AAVSO
2458975.354241 	2451659.481968 	0.41695902	17546	-0.09069192	0.00051	AAVSO
2458978.284030 	2451659.481968 	0.41695902	17553	-0.07961606	0.00038	AAVSO
2458980.363720 	2451659.481968 	0.41695902	17558	-0.08472116	0.00041	AAVSO
2458981.624238 	2451659.481968 	0.41695902	17561	-0.07508022	0.00132	AAVSO
2458983.292663 	2451659.481968 	0.41695902	17565	-0.0744913	0.00053	AAVSO
2458989.522156 	2451659.481968 	0.41695902	17580	-0.0993836	0.00149	AAVSO
2458991.635911 	2451659.481968 	0.41695902	17585	-0.0704237	0.00085	AAVSO
2458994.547389 	2451659.481968 	0.41695902	17592	-0.07765884	0.00055	AAVSO
2458996.626833 	2451659.481968 	0.41695902	17597	-0.08300994	0.00088	AAVSO
2458999.535186 	2451659.481968 	0.41695902	17604	-0.09337008	0.00119	AAVSO
2459004.547758 	2451659.481968 	0.41695902	17616	-0.08430632	0.00111	AAVSO
2459014.553530 	2451659.481968 	0.41695902	17640	-0.0855508	0.00137	AAVSO
2459019.561142 	2451659.481968 	0.41695902	17652	-0.08144704	0.00151	AAVSO
2459276.828631 	2451659.481968 	0.41695902	18269	-0.07767338	0.00195	AAVSO
2459296.827766 	2451659.481968 	0.41695902	18317	-0.09257134	0.00089	AAVSO
2459299.743369 	2451659.481968 	0.41695902	18324	-0.09568148	0.00233	AAVSO
2459301.843971 	2451659.481968 	0.41695902	18329	-0.07987458	0.00144	AAVSO
2459304.765963 	2451659.481968 	0.41695902	18336	-0.07659572	0.0018	AAVSO
2459306.846596 	2451659.481968 	0.41695902	18341	-0.08075782	0.00104	AAVSO
2459307.673578 	2451659.481968 	0.41695902	18343	-0.08769386	0.00093	AAVSO
2459325.600095 	2451659.481968 	0.41695902	18386	-0.09041472	0.00213	AAVSO
2459327.681445 	2451659.481968 	0.41695902	18391	-0.09385982	0.00103	AAVSO
2459329.760141 	2451659.481968 	0.41695902	18396	-0.09995892	0.00087	AAVSO
2459331.849622 	2451659.481968 	0.41695902	18401	-0.09527302	0.0013	AAVSO
2459333.939940 	2451659.481968 	0.41695902	18406	-0.08975012	0.00057	TESS
2459334.360740 	2451659.481968 	0.41695902	18407	-0.08590914	0.00054	TESS
2459334.764780 	2451659.481968 	0.41695902	18408	-0.09882816	0.00068	TESS
2459334.770448 	2451659.481968 	0.41695902	18408	-0.09316016	0.0015	AAVSO
2459335.186130 	2451659.481968 	0.41695902	18409	-0.09443718	0.00053	TESS
2459335.603830 	2451659.481968 	0.41695902	18410	-0.0936962	0.00059	TESS
2459336.022490 	2451659.481968 	0.41695902	18411	-0.09199522	0.00057	TESS
2459336.427990 	2451659.481968 	0.41695902	18412	-0.10345424	0.00074	TESS
2459336.849690 	2451659.481968 	0.41695902	18413	-0.09871326	0.00055	TESS
2459336.854908 	2451659.481968 	0.41695902	18413	-0.09349526	0.00137	AAVSO
2459337.273220 	2451659.481968 	0.41695902	18414	-0.09214228	0.00055	TESS
2459337.685030 	2451659.481968 	0.41695902	18415	-0.0972913	0.00059	TESS
2459337.691095 	2451659.481968 	0.41695902	18415	-0.0912263	0.00113	AAVSO
2459338.101540 	2451659.481968 	0.41695902	18416	-0.09774032	0.00046	TESS
2459338.525960 	2451659.481968 	0.41695902	18417	-0.09027934	0.00063	TESS
2459338.948400 	2451659.481968 	0.41695902	18418	-0.08479836	0.00051	TESS
2459339.365790 	2451659.481968 	0.41695902	18419	-0.08436738	0.00062	TESS
2459339.765660 	2451659.481968 	0.41695902	18420	-0.1014564	0.0005	TESS
2459340.207330 	2451659.481968 	0.41695902	18421	-0.07674542	0.00054	TESS
2459340.598230 	2451659.481968 	0.41695902	18422	-0.10280444	0.00045	TESS
2459341.022990 	2451659.481968 	0.41695902	18423	-0.09500346	0.00083	TESS
2459341.446380 	2451659.481968 	0.41695902	18424	-0.08857248	0.00047	TESS
2459341.861080 	2451659.481968 	0.41695902	18425	-0.0908315	0.00064	TESS
2459342.280970 	2451659.481968 	0.41695902	18426	-0.08790052	0.0007	TESS
2459342.687050 	2451659.481968 	0.41695902	18427	-0.09877954	0.00093	TESS
